No.,Source,Be Known as ,Original Name,Pen Names ,,,,,,,,,,,,,,,,,,,,,,,,,,
81,《香港文學作家傳略》,葉靈鳳,葉蘊璞,佐木華,葉林豐,秋生,霜崖,秦靜聞,秋郎,亞靈,臨風,雨品巫,曇華,L.F.,柿堂,南村,任訶,鳳軒,燕樓,趙克臻,克臻,臻,林豐,白門秋生,豐,黃繩,,,,
82,《香港文學作家傳略》,廖恩燾,same as column 1,廖鳳舒,鳳舒,懺盦,珠海夢餘生,,,,,,,,,,,,,,,,,,,,,,,
83,《香港文學作家傳略》,碧侶,陸雁豪,陸兆熙,,,,,,,,,,,,,,,,,,,,,,,,,,
84,《香港文學作家傳略》,趙滋蕃,same as column 1,文壽,,,,,,,,,,,,,,,,,,,,,,,,,,
85,《香港文學作家傳略》,趙聰,same as column 1,趙慶餘,鍾華敏,王序,,,,,,,,,,,,,,,,,,,,,,,,
86,《香港文學作家傳略》,熊式一,熊適逸,適齋居士,熊式．,,,,,,,,,,,,,,,,,,,,,,,,,
87,《香港文學作家傳略》,鄭郁郎,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,《香港文學作家傳略》,歐陽天,鄺蔭泉,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,《香港文學作家傳略》,劉火子,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,《香港文學作家傳略》,魯金,梁濤,黃濤,梁煌濤,魯言,夏歷,夏秋冬,,,,,,,,,,,,,,,,,,,,,,
91,《香港文學作家傳略》,魯衡,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,《香港文學作家傳略》,龍實秀,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,《香港文學作家傳略》,盧森,same as column 1,洪成,魯深,,,,,,,,,,,,,,,,,,,,,,,,,
94,《香港文學作家傳略》,蕭銅,生鑑忠,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,《香港文學作家傳略》,蕭輝楷,same as column 1,陳虹,方皞,,,,,,,,,,,,,,,,,,,,,,,,,
96,《香港文學作家傳略》,戴望舒,戴朝寀,戴夢鷗,信芳,望舒,郎芳,江近思,艾生,生,陳御月,艾昂甫,苗秀,戴月,月,陳藝圃,藝圃,張白銜,莊重,蒔甘,林泉居士,林泉居,方仁,史方域,江文生,江湖,文生,江思,白銜,達士
97,《香港文學作家傳略》,戴隱郎,same as column 1,戴英郎,殷沫,馬康,疾流,,,,,,,,,,,,,,,,,,,,,,,
98,《香港文學作家傳略》,簡又文,same as column 1,簡馭繁,馭繁,大華烈士,工爻,佟智,諦牟,斑園,興漢劍生郎,,,,,,,,,,,,,,,,,,,
99,《香港文學作家傳略》,羅香林,same as column 1,羅元一,元一,羅漢,漢夫,羅一之,羅乙堂,香靈,,,,,,,,,,,,,,,,,,,,
100,《香港文學作家傳略》,羅澧銘,same as column 1,塘西舊侶,蘿月,憶釵生,三羅後人,禮記,,,,,,,,,,,,,,,,,,,,,,
101,《香港文學作家傳略》,顧鴻,same as column 1,江一明,夏侯晚潯,賀原,,,,,,,,,,,,,,,,,,,,,,,,
102,《香港文學作家傳略》,靈簫生,衛春秋,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,《香港文學作家傳略》,丁平,寗靖,艾莎,沙莎,,,,,,,,,,,,,,,,,,,,,,,,,
104,《香港文學作家傳略》,丁羽,same as column 1,佛琳,,,,,,,,,,,,,,,,,,,,,,,,,,
105,《香港文學作家傳略》,丁望,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,《香港文學作家傳略》,卜少夫,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,《香港文學作家傳略》,乞靈,吳呂南,小綠,,,,,,,,,,,,,,,,,,,,,,,,,,
108,《香港文學作家傳略》,小思,盧瑋鑾,明川,盧颿,夏颸,金文泰 冷齋,賈逸,荒唐生,莫桓,兔仔,,,,,,,,,,,,,,,,,,,
109,《香港文學作家傳略》,也斯,梁秉鈞,LEUNG PING-KWAN,梁北,,,,,,,,,,,,,,,,,,,,,,,,,
110,《香港文學作家傳略》,子迅,趙子遜,子川,越人,凡山,趙玲,諸葛求實,layman,玲,仁,謝子迅,駱平,洛平,趙蘋,,,,,,,,,,,,,,,
111,《香港文學作家傳略》,文翎,梁德標,梁燦,,,,,,,,,,,,,,,,,,,,,,,,,,
112,《香港文學作家傳略》,文雋,王文俊,王恆,王恒,,,,,,,,,,,,,,,,,,,,,,,,,
113,《香港文學作家傳略》,文綺貞,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,《香港文學作家傳略》,方娥真,same as column 1,寥湮,,,,,,,,,,,,,,,,,,,,,,,,,,
115,《香港文學作家傳略》,方龍驤,方棠華,龍驤,盧森堡,丁辛,常舞天,,,,,,,,,,,,,,,,,,,,,,,
116,《香港文學作家傳略》,方競生,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,《香港文學作家傳略》,方蘆荻,方榮焯,方盧荻,,,,,,,,,,,,,,,,,,,,,,,,,,
118,《香港文學作家傳略》,王一桃,黃壽延,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,《香港文學作家傳略》,王心果,王火土,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,《香港文學作家傳略》,王仁芸,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,《香港文學作家傳略》,王良和,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,《香港文學作家傳略》,王尚政,same as column 1,尚政,伏翁,復員,,,,,,,,,,,,,,,,,,,,,,,,
